Name,State,District,Party,Score,Lifetime Score,Postal Service Reform Act (H.R. 3076),Honoring Our Promise to Address Comprehensive Toxics (PACT) Act of 2021 (H.R. 3967),FAIR Act (H.R. 963 (Amendment #1)),Rights for the Transportation Security Administration Workforce Act (H.R. 903),National Defense Authorization Act for Fiscal Year 2023 (Amendment #3) (H.R. 7900),National Defense Authorization Act for Fiscal Year 2023 (Amendment #454) (H.R. 7900),CHIPS and Science Act  (H.R. 4346),Inflation Reduction Act (H.R. 5376),Presidential Election Reform Act (H.R. 8873),Rail Workers Sick Leave (H.Con.Res 119),Veteran Service Recognition Act (H.R. 7946),VA Employee Fairness Act (H.R. 1948),Omnibus Act of 2023 (H.R. 2617)
Rep. Angie Craig,MN,2,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dean Phillips,MN,3,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Betty McCollum,MN,4,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ilhan Omar,MN,5,Democrat,100%,90%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Emmer,MN,6,Republican,15%,21%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michelle Fischbach,MN,7,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Pete Stauber,MN,8,Republican,15%,37%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Cori Bush,MO,1,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ann Wagner,MO,2,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Blaine Luetkemeyer,MO,3,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Vicky Hartzler,MO,4,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Emanuel Cleaver II,MO,5,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sam Graves,MO,6,Republican,8%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Billy Long,MO,7,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jason Smith,MO,8,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Trent Kelly,MS,1,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bennie Thompson,MS,2,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael Guest,MS,3,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steven Palazzo,MS,4,Republican,0%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Matt Rosendale,MT,1,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. G. K. Butterfield,NC,1,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Deborah Ross,NC,2,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Greg Murphy,NC,3,Republican,8%,16%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David E. Price,NC,4,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Virginia Foxx,NC,5,Republican,8%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kathy Manning,NC,6,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Rouzer,NC,7,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Richard Hudson,NC,8,Republican,15%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dan Bishop,NC,9,Republican,0%,5%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Patrick T. McHenry,NC,10,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Madison Cawthorn,NC,11,Republican,8%,3%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Alma Adams,NC,12,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ted Budd,NC,13,Republican,8%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kelly Armstrong,ND,0,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Flood,NE,1,Republican,0%,0%,,,,,?,?,?,?,?,?,?,?,?
Rep. Jeff Fortenberry,NE,1,Republican,33%,21%,?,?,?,,,,,,,,,,
Rep. Don Bacon,NE,2,Republican,38%,29%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Adrian Smith,NE,3,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chris Pappas,NH,1,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ann McLane Kuster,NH,2,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Donald W. Norcross,NJ,1,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jefferson Van Drew,NJ,2,Republican,23%,61%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Andy Kim,NJ,3,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Christopher H. Smith,NJ,4,Republican,46%,54%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Josh Gottheimer,NJ,5,Democrat,100%,89%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Frank Pallone,NJ,6,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Malinowski,NJ,7,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Albio Sires,NJ,8,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bill Pascrell Jr.,NJ,9,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Donald M. Payne Jr.,NJ,10,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mikie Sherrill,NJ,11,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bonnie Watson Coleman,NJ,12,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Melanie Stansbury,NM,1,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Yvette Herrell,NM,2,Republican,8%,3%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Teresa Leger Fernandez,NM,3,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dina Titus,NV,1,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mark Amodei,NV,2,Republican,8%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Susie Lee,NV,3,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steven Horsford,NV,4,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lee Zeldin,NY,1,Republican,8%,30%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Andrew Garbarino,NY,2,Republican,23%,24%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Thomas Suozzi,NY,3,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kathleen Rice,NY,4,Democrat,92%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Gregory W. Meeks,NY,5,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Grace Meng,NY,6,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Nydia M. Velázquez,NY,7,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Hakeem Jeffries,NY,8,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Yvette D. Clarke,NY,9,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jerrold Nadler,NY,10,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Nicole Malliotakis,NY,11,Republican,31%,29%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Carolyn B. Maloney,NY,12,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Adriano Espaillat,NY,13,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Alexandria Ocasio-Cortez,NY,14,Democrat,92%,88%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ritchie Torres,NY,15,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jamaal Bowman,NY,16,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mondaire Jones,NY,17,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sean Patrick Maloney,NY,18,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Antonio Delgado,NY,19,Democrat,100%,100%,?,?,?,?,,,,,,,,,
Rep. Patrick Ryan,NY,19,Democrat,100%,100%,,,,,,,,,?,?,?,?,?
Rep. Paul Tonko,NY,20,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Elise Stefanik,NY,21,Republican,8%,35%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Claudia Tenney,NY,22,Republican,8%,20%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Reed,NY,23,Republican,67%,32%,?,?,?,,,,,,,,,,
Rep. Joe Sempolinski,NY,23,Republican,0%,0%,,,,,,,,,?,?,?,?,?
Rep. John Katko,NY,24,Republican,77%,53%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Joe Morelle,NY,25,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brian Higgins,NY,26,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chris Jacobs,NY,27,Republican,31%,24%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steven J. Chabot,OH,1,Republican,15%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brad Wenstrup,OH,2,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Joyce Beatty,OH,3,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jim Jordan,OH,4,Republican,0%,5%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Robert E. Latta,OH,5,Republican,8%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bill Johnson,OH,6,Republican,31%,22%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bob Gibbs,OH,7,Republican,15%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Warren Davidson,OH,8,Republican,8%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Marcy Kaptur,OH,9,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael R. Turner,OH,10,Republican,23%,33%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Shontel Brown,OH,11,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Troy Balderson,OH,12,Republican,15%,24%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tim Ryan,OH,13,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dave Joyce,OH,14,Republican,31%,39%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Carey,OH,15,Republican,31%,27%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Anthony Gonzalez,OH,16,Republican,33%,32%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kevin Hern,OK,1,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Markwayne Mullin,OK,2,Republican,0%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Frank D. Lucas,OK,3,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Cole,OK,4,Republican,15%,19%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Stephanie Bice,OK,5,Republican,15%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Suzanne Bonamici,OR,1,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Cliff Bentz,OR,2,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Earl Blumenauer,OR,3,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Peter A. DeFazio,OR,4,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kurt Schrader,OR,5,Democrat,92%,85%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brian Fitzpatrick,PA,1,Republican,85%,65%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brendan Boyle,PA,2,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dwight Evans,PA,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Madeleine Dean,PA,4,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mary Gay Scanlon,PA,5,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chrissy Houlahan,PA,6,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Susan Wild,PA,7,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Matt Cartwright,PA,8,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Daniel Meuser,PA,9,Republican,15%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Scott Perry,PA,10,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lloyd Smucker,PA,11,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Fred Keller,PA,12,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Joyce,PA,13,Republican,15%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Guy Reschenthaler,PA,14,Republican,15%,24%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Glenn Thompson,PA,15,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Kelly,PA,16,Republican,8%,21%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Conor Lamb,PA,17,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Doyle,PA,18,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Cicilline,RI,1,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jim Langevin,RI,2,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Nancy Mace,SC,1,Republican,15%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Joe Wilson,SC,2,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jeffrey Duncan,SC,3,Republican,0%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. William Timmons,SC,4,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ralph Norman,SC,5,Republican,0%,5%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. James E. Clyburn,SC,6,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Rice,SC,7,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dusty Johnson,SD,0,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Diana Harshbarger,TN,1,Republican,8%,3%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tim Burchett,TN,2,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chuck Fleischmann,TN,3,Republican,0%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Scott DesJarlais,TN,4,Republican,8%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jim Cooper,TN,5,Democrat,100%,84%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Rose,TN,6,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mark Green,TN,7,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Kustoff,TN,8,Republican,0%,13%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steve Cohen,TN,9,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Louie Gohmert,TX,1,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dan Crenshaw,TX,2,Republican,0%,17%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Van Taylor,TX,3,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Pat Fallon,TX,4,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lance Gooden,TX,5,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jake Ellzey,TX,6,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lizzie Fletcher,TX,7,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kevin Brady,TX,8,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Al Green,TX,9,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael McCaul,TX,10,Republican,15%,13%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. August Pfluger,TX,11,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kay Granger,TX,12,Republican,15%,13%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ronny Jackson,TX,13,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Randy Weber,TX,14,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Vicente Gonzalez,TX,15,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Veronica Escobar,TX,16,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Pete Sessions,TX,17,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sheila Jackson Lee,TX,18,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jodey Arrington,TX,19,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Joaquín Castro,TX,20,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chip Roy,TX,21,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Troy Nehls,TX,22,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tony Gonzales,TX,23,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Beth Van Duyne,TX,24,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Roger Williams,TX,25,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael C. Burgess,TX,26,Republican,8%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael Cloud,TX,27,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Henry Cuellar,TX,28,Democrat,92%,73%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sylvia Garcia,TX,29,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Eddie Bernice Johnson,TX,30,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Carter,TX,31,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Colin Allred,TX,32,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Marc Veasey,TX,33,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mayra Flores,TX,34,Republican,0%,0%,,,,,?,?,?,?,?,?,?,?,?
Rep. Filemon Vela,TX,34,Democrat,100%,93%,?,?,?,,,,,,,,,,
Rep. Lloyd Doggett,TX,35,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brian Babin,TX,36,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Blake Moore,UT,1,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chris Stewart,UT,2,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Curtis,UT,3,Republican,8%,16%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Burgess Owens,UT,4,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Robert J. Wittman,VA,1,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Elaine Luria,VA,2,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Robert C. Scott,VA,3,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. A. Donald McEachin,VA,4,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,,,,
Rep. Robert Good,VA,5,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ben Cline,VA,6,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Abigail Spanberger,VA,7,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Donald Beyer,VA,8,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Morgan Griffith,VA,9,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jennifer Wexton,VA,10,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Gerald E. Connolly,VA,11,Democrat,100%,93%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Peter Welch,VT,0,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Suzan K. DelBene,WA,1,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Rick Larsen,WA,2,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jaime Herrera Beutler,WA,3,Republican,31%,21%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dan Newhouse,WA,4,Republican,8%,25%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Cathy McMorris Rodgers,WA,5,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Derek Kilmer,WA,6,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Pramila Jayapal,WA,7,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kim Schrier,WA,8,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Adam Smith,WA,9,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Marilyn Strickland,WA,10,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bryan Steil,WI,1,Republican,0%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mark Pocan,WI,2,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ron Kind,WI,3,Democrat,100%,90%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Gwen Moore,WI,4,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Scott Fitzgerald,WI,5,Republican,8%,3%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Glenn Grothman,WI,6,Republican,8%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Tiffany,WI,7,Republican,8%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Gallagher,WI,8,Republican,9%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David McKinley,WV,1,Republican,56%,42%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Alex Mooney,WV,2,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Carol Miller,WV,3,Republican,0%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Liz Cheney,WY,0,Republican,31%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
