Name,State,Party,Score,Lifetime Score,Postal Service Reform Act (H.R. 3076),"Nomination of David Weil to be Administrator of the Wage and Hour Division, DOL",COVID Supplemental Appropriations Act (H.R. 4373),Nomination of Judge Ketanji Brown Jackson to the United States Supreme Court,Federal Reserve Nominations of Dr. Lisa DeNell Cook,Federal Reserve Nomination of Dr. Philip Jefferson (173),CHIPS and Science Act (H.R. 4346),Inflation Reduction Act (H.R. 5376),Lisa M. Gomez Assistant Secretary for the Employee Benefits Security Administration (EBSA) at the U.S. Department of Labor,Respect for Marriage Act (H.R. 8404),Rail Workers Sick Leave (H.Con.Res. 119),Consolidated Appropriations Act of 2023 (H.R. 2617)
Sen. Lisa Murkowski,AK,Republican,45%,39%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Dan Sullivan,AK,Republican,27%,21%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Richard C. Shelby,AL,Republican,17%,17%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tommy Tuberville,AL,Republican,0%,6%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Boozman,AR,Republican,17%,14%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tom Cotton,AR,Republican,17%,11%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mark Kelly,AZ,Democrat,92%,97%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Kyrsten Sinema,AZ,Democrat,92%,83%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Dianne Feinstein,CA,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Alex Padilla,CA,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Michael Bennet,CO,Democrat,100%,93%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Hickenlooper,CO,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Richard Blumenthal,CT,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Christopher S. Murphy,CT,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Thomas R. Carper,DE,Democrat,100%,89%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Christopher A. Coons,DE,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Marco Rubio,FL,Republican,18%,11%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Rick Scott,FL,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jon Ossoff,GA,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Raphael Warnock,GA,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mazie K. Hirono,HI,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Brian Schatz,HI,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Joni Ernst,IA,Republican,25%,18%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Charles E. Grassley,IA,Republican,17%,18%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Michael D. Crapo,ID,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jim Risch,ID,Republican,8%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tammy Duckworth,IL,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Richard J. Durbin,IL,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mike Braun,IN,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Todd Young,IN,Republican,42%,14%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Roger Marshall,KS,Republican,17%,15%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jerry Moran,KS,Republican,36%,17%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mitch McConnell,KY,Republican,33%,17%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Rand Paul,KY,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bill Cassidy,LA,Republican,27%,13%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Kennedy,LA,Republican,27%,15%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Edward J. Markey,MA,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Elizabeth Warren,MA,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Benjamin L. Cardin,MD,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Chris Van Hollen,MD,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Susan Collins,ME,Republican,50%,49%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Angus King,ME,ID,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Gary Peters,MI,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Debbie Stabenow,MI,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Amy Klobuchar,MN,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tina Smith,MN,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Roy Blunt,MO,Republican,36%,18%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Joshua Hawley,MO,Republican,17%,12%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Cindy Hyde-Smith,MS,Republican,10%,18%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Roger Wicker,MS,Republican,33%,18%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Steve Daines,MT,Republican,25%,17%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jon Tester,MT,Democrat,100%,93%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Richard M. Burr,NC,Republican,44%,17%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Thom Tillis,NC,Republican,36%,21%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Kevin Cramer,ND,Republican,18%,21%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Hoeven,ND,Republican,17%,18%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Deb Fischer,NE,Republican,17%,17%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ben Sasse,NE,Republican,18%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Margaret Hassan,NH,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jeanne Shaheen,NH,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Cory Booker,NJ,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Robert Menendez,NJ,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Martin Heinrich,NM,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ben Ray Luján,NM,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Catherine Cortez Masto,NV,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jacky Rosen,NV,Democrat,100%,92%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Kirsten E. Gillibrand,NY,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Charles E. Schumer,NY,Democrat,92%,95%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Sherrod Brown,OH,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Rob Portman,OH,Republican,45%,25%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. James M. Inhofe,OK,Republican,18%,12%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. James Lankford,OK,Republican,8%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jeff Merkley,OR,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ron Wyden,OR,Democrat,92%,92%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bob Casey,PA,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Patrick J. Toomey,PA,Republican,10%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jack Reed,RI,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Sheldon Whitehouse,RI,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Lindsey Graham,SC,Republican,45%,24%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tim Scott,SC,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mike Rounds,SD,Republican,25%,20%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Thune,SD,Republican,25%,15%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Marsha Blackburn,TN,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bill Hagerty,TN,Republican,18%,11%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Cornyn,TX,Republican,25%,15%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ted Cruz,TX,Republican,17%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mike Lee,UT,Republican,9%,8%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mitt Romney,UT,Republican,42%,34%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tim Kaine,VA,Democrat,100%,93%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mark Warner,VA,Democrat,100%,90%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Patrick J. Leahy,VT,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bernard Sanders,VT,ID,91%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Maria Cantwell,WA,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Patty Murray,WA,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tammy Baldwin,WI,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ron Johnson,WI,Republican,9%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Shelley Moore Capito,WV,Republican,42%,30%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Joe Manchin III,WV,Democrat,82%,87%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Barrasso,WY,Republican,18%,12%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Cynthia M. Lummis,WY,Republican,25%,9%,?,?,?,?,?,?,?,?,?,?,?,?
